GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Notes WebApp Backend,com.unibo.notes.exception,ResourceNotFoundException,4,19,0,0,2,2,1,1,1,1
Notes WebApp Backend,com.unibo.notes.exception,NotFoundException,19,0,0,0,4,0,2,0,2,0
Notes WebApp Backend,com.unibo.notes.exception,UnauthorizedException,5,4,0,0,2,2,1,1,1,1
Notes WebApp Backend,com.unibo.notes.exception,GlobalExceptionHandler,36,77,3,5,10,20,2,6,0,4
Notes WebApp Backend,com.unibo.notes.exception,SecurityExceptionMapper,0,11,0,0,0,4,0,2,0,2
Notes WebApp Backend,com.unibo.notes.exception,ConflictException,0,4,0,0,0,2,0,1,0,1
Notes WebApp Backend,com.unibo.notes.exception,ConstraintViolationExceptionMapper,0,21,0,0,0,9,0,2,0,2
Notes WebApp Backend,com.unibo.notes.exception,ValidationException,5,4,0,0,2,2,1,1,1,1
Notes WebApp Backend,com.unibo.notes.controller,PermissionController,68,0,0,0,13,0,5,0,5,0
Notes WebApp Backend,com.unibo.notes.controller,FolderController.CreateFolderRequest,3,0,0,0,1,0,1,0,1,0
Notes WebApp Backend,com.unibo.notes.controller,FolderController,126,0,0,0,22,0,8,0,8,0
Notes WebApp Backend,com.unibo.notes.controller,FolderController.CountResponse,6,0,0,0,3,0,1,0,1,0
Notes WebApp Backend,com.unibo.notes.controller,FolderController.UpdateFolderRequest,3,0,0,0,1,0,1,0,1,0
Notes WebApp Backend,com.unibo.notes.controller,NoteController.MoveNoteRequest,3,0,0,0,1,0,1,0,1,0
Notes WebApp Backend,com.unibo.notes.controller,NoteController,276,0,4,0,54,0,17,0,15,0
Notes WebApp Backend,com.unibo.notes.controller,AuthController,0,23,0,0,0,5,0,3,0,3
Notes WebApp Backend,com.unibo.notes.service,NoteService,403,0,38,0,78,0,35,0,16,0
Notes WebApp Backend,com.unibo.notes.service,ConflictService,365,0,34,0,82,0,29,0,11,0
Notes WebApp Backend,com.unibo.notes.service,UserService,73,0,0,0,10,0,10,0,10,0
Notes WebApp Backend,com.unibo.notes.service,PermissionService,271,0,18,0,54,0,23,0,14,0
Notes WebApp Backend,com.unibo.notes.service,FolderService,222,0,24,0,43,0,23,0,11,0
Notes WebApp Backend,com.unibo.notes.service,AuthService,177,0,26,0,28,0,17,0,4,0
Notes WebApp Backend,com.unibo.notes.service,VersionService,291,0,16,0,52,0,22,0,14,0
Notes WebApp Backend,com.unibo.notes.dto,NoteDTO,0,3,0,0,0,1,0,1,0,1
Notes WebApp Backend,com.unibo.notes.dto,PermissionDTO,0,3,0,0,0,1,0,1,0,1
Notes WebApp Backend,com.unibo.notes.dto,NoteDTO.CollaboratorDTO,3,0,0,0,1,0,1,0,1,0
Notes WebApp Backend,com.unibo.notes.dto,ShareNoteRequest,0,3,0,0,0,1,0,1,0,1
Notes WebApp Backend,com.unibo.notes.dto,UpdateNoteRequest,0,3,0,0,0,1,0,1,0,1
Notes WebApp Backend,com.unibo.notes.dto,NoteVersionDTO,3,0,0,0,1,0,1,0,1,0
Notes WebApp Backend,com.unibo.notes.dto,ConflictDTO,3,0,0,0,1,0,1,0,1,0
Notes WebApp Backend,com.unibo.notes.dto,CreateNoteRequest,0,3,0,0,0,1,0,1,0,1
Notes WebApp Backend,com.unibo.notes.dto.auth,LoginRequest,0,3,0,0,0,1,0,1,0,1
Notes WebApp Backend,com.unibo.notes.dto.auth,AuthResponse,0,15,0,0,0,6,0,1,0,1
Notes WebApp Backend,com.unibo.notes.dto.auth,RegisterRequest,0,3,0,0,0,1,0,1,0,1
Notes WebApp Backend,com.unibo.notes.util,JWTUtil,17,20,0,0,6,7,1,2,1,2
Notes WebApp Backend,com.unibo.notes.util,PasswordUtil,0,16,0,0,0,3,0,3,0,3
Notes WebApp Backend,com.unibo.notes.repository,FolderRepository,115,0,2,0,13,0,11,0,10,0
Notes WebApp Backend,com.unibo.notes.repository,NoteRepository,77,0,0,0,7,0,7,0,7,0
Notes WebApp Backend,com.unibo.notes.repository,NotePermissionRepository,124,0,6,0,11,0,11,0,8,0
Notes WebApp Backend,com.unibo.notes.repository,NoteVersionRepository,106,0,4,0,13,0,10,0,8,0
Notes WebApp Backend,com.unibo.notes.repository,UserRepository,57,0,4,0,5,0,7,0,5,0
Notes WebApp Backend,com.unibo.notes.entity,Folder,21,0,0,0,7,0,2,0,2,0
Notes WebApp Backend,com.unibo.notes.entity,NotePermission,7,0,0,0,3,0,2,0,2,0
Notes WebApp Backend,com.unibo.notes.entity,NotePermission.PermissionType,15,0,0,0,3,0,1,0,1,0
Notes WebApp Backend,com.unibo.notes.entity,User,17,0,0,0,5,0,2,0,2,0
Notes WebApp Backend,com.unibo.notes.entity,NoteVersion,7,0,0,0,3,0,2,0,2,0
Notes WebApp Backend,com.unibo.notes.entity,Note,19,0,0,0,7,0,3,0,3,0
Notes WebApp Backend,com.unibo.notes,NotesApplication,19,0,0,0,8,0,3,0,3,0
